Lead_ID,Region,State,Course,Time_Slot,Pitch_Category,Pitch_Minutes,Followup_Gap,Script_Tone,Attempts,Lag,ELT,Outreach_Type,Engagement_Score,Lead_Score,High_Engagement,Conversion_Probability
L00070,West,Maharashtra,AI & ML,Evening,Short,1.1,1 Day,Casual,1,6.5,12,Direct,82,77,1,78.9
L00071,South,Andhra Pradesh,Cloud,Evening,Medium,6.8,1 Day,Semi-Formal,1,4.5,14.4,Direct,72,65,1,52.3
L00072,East,Odisha,AI & ML,Morning,Long,10.6,2 Days,Formal,1,5.4,12.1,Direct,59,56,0,52.7
L00073,North,Rajasthan,Cybersecurity,Evening,Medium,5.5,1 Day,Formal,3,5.7,11.5,Direct,52,55,0,55.9
L00074,West,Gujarat,Full Stack,Evening,Medium,6.1,1 Day,Semi-Formal,1,3.6,11.5,Campus Ambassador,61,62,0,38.1
L00075,South,Andhra Pradesh,Cloud,Afternoon,Long,10.3,Same Day,Formal,1,5,16.4,Campus Ambassador,74,59,1,56.4
L00076,West,Goa,Cybersecurity,Evening,Long,10.5,Same Day,Semi-Formal,4,3.5,13.4,Direct,91,83,1,79.9
L00077,North,Rajasthan,Cybersecurity,Morning,Short,2.3,Same Day,Casual,1,4.7,11.3,Direct,91,78,1,58.9
L00078,South,Tamil Nadu,Cloud,Morning,Short,3,Same Day,Semi-Formal,1,6.5,14.1,Direct,96,85,1,60.1
L00079,West,Gujarat,Cybersecurity,Evening,Medium,6.8,Same Day,Casual,1,4.6,13.7,Direct,77,59,1,51
L00080,South,Andhra Pradesh,AI & ML,Evening,Short,1.3,Same Day,Casual,1,4.8,11.1,Direct,71,66,1,56.1
L00081,South,Andhra Pradesh,Cybersecurity,Afternoon,Medium,5.4,Same Day,Casual,1,6.2,11.8,Direct,80,67,1,69.6
L00082,North,Punjab,Cybersecurity,Afternoon,Medium,6.8,3-5 Days,Casual,1,2.9,11.9,Direct,43,44,0,32.9
L00083,South,Andhra Pradesh,AI & ML,Morning,Medium,6,Same Day,Semi-Formal,1,2.1,10.9,Direct,77,67,1,45.3
L00084,East,Bihar,Cybersecurity,Morning,Long,9.4,2 Days,Semi-Formal,1,5,16.6,Direct,57,46,0,67.8
L00085,East,Odisha,Cybersecurity,Morning,Long,9.4,1 Day,Formal,1,4,11.1,Direct,46,43,0,46
L00086,East,West Bengal,AI & ML,Evening,Short,1.2,Same Day,Formal,1,2.9,16.1,Campus Ambassador,87,74,1,71.3
L00087,North,Haryana,Data Science,Evening,Medium,6.6,Same Day,Casual,1,5.5,13.6,Direct,76,63,1,64.2
L00088,North,Punjab,Full Stack,Afternoon,Medium,5.8,1 Day,Semi-Formal,1,1.7,12.4,Direct,88,75,1,56
L00089,East,Odisha,Data Science,Afternoon,Medium,5.2,Same Day,Semi-Formal,1,6.9,11.7,Campus Ambassador,74,69,1,63.6
L00090,East,Bihar,Cybersecurity,Morning,Short,1.8,3-5 Days,Semi-Formal,1,4.1,16.9,Direct,62,60,0,29.3
L00091,West,Maharashtra,AI & ML,Evening,Medium,6.8,Same Day,Semi-Formal,1,4.4,11.8,Direct,80,75,1,44.2
L00092,South,Telangana,AI & ML,Afternoon,Short,1.7,Same Day,Casual,1,4.8,6.6,Direct,88,72,1,60.5
L00093,North,Rajasthan,Full Stack,Morning,Medium,6.7,Same Day,Semi-Formal,1,7.7,10.9,Direct,81,71,1,62.8
L00094,West,Goa,Cloud,Morning,Long,9.4,Same Day,Formal,1,5.8,13.8,Campus Ambassador,70,64,1,82.1
L00095,East,Odisha,Data Science,Morning,Medium,7,3-5 Days,Formal,1,7.1,12.5,Direct,59,59,0,53
L00096,South,Telangana,AI & ML,Afternoon,Short,2.1,Same Day,Semi-Formal,1,1.8,15,Direct,83,78,1,74.8
L00097,South,Tamil Nadu,Full Stack,Evening,Short,2.9,Same Day,Casual,1,5.7,13.5,Campus Ambassador,98,81,1,65.8
L00098,West,Goa,Data Science,Afternoon,Long,9.2,2 Days,Semi-Formal,1,8.3,11.4,Direct,40,48,0,46
L00099,West,Gujarat,Full Stack,Morning,Long,9.3,Same Day,Formal,1,5.8,14.4,Direct,70,66,1,77.3
L00100,South,Kerala,Full Stack,Afternoon,Long,9.5,1 Day,Casual,1,4.9,12.3,Direct,75,67,1,48.4
L00101,West,Goa,Cybersecurity,Morning,Short,1.4,Same Day,Semi-Formal,1,5.1,11.7,Campus Ambassador,67,59,0,46.9
L00102,North,Haryana,Cloud,Morning,Medium,5.1,3-5 Days,Semi-Formal,1,4.1,12,Campus Ambassador,65,62,0,67.2
L00103,East,West Bengal,Cloud,Afternoon,Short,2.3,3-5 Days,Semi-Formal,1,7.3,12.9,Campus Ambassador,49,43,0,26.8
L00104,North,Rajasthan,AI & ML,Evening,Short,2.8,Same Day,Formal,2,4.5,17.1,Direct,80,74,1,63.3
L00105,East,Jharkhand,Data Science,Afternoon,Long,9.5,Same Day,Formal,1,3.2,11.9,Direct,66,62,0,60.1
L00106,West,Maharashtra,Cybersecurity,Morning,Medium,5.4,1 Day,Semi-Formal,1,5.2,17.8,Direct,73,63,1,65.5
L00107,West,Goa,Cybersecurity,Evening,Medium,6.3,2 Days,Casual,1,4.8,12.3,Campus Ambassador,75,59,1,55.8
L00108,West,Maharashtra,Cloud,Afternoon,Medium,6.1,2 Days,Formal,1,6.8,8.6,Campus Ambassador,77,72,1,66.9
L00109,West,Goa,Cloud,Evening,Medium,6.1,Same Day,Formal,1,3.9,11.3,Direct,52,52,0,38.7
L00110,North,Haryana,Cybersecurity,Morning,Short,1.3,1 Day,Casual,1,4,9.9,Direct,85,71,1,62.8
L00111,South,Karnataka,Data Science,Evening,Long,9,1 Day,Casual,1,7.7,12.4,Campus Ambassador,50,46,0,28.8
L00112,West,Goa,AI & ML,Morning,Medium,6,2 Days,Semi-Formal,1,6.1,13.9,Direct,70,58,1,44.3
L00113,South,Kerala,Cloud,Morning,Long,9.9,Same Day,Casual,1,4.5,13.5,Direct,62,50,0,44.2
L00114,West,Maharashtra,Data Science,Evening,Medium,5.1,Same Day,Semi-Formal,1,7.7,13.3,Campus Ambassador,49,43,0,48.3
L00115,South,Telangana,Cloud,Evening,Long,10.6,3-5 Days,Semi-Formal,1,5.3,12.3,Campus Ambassador,59,58,0,44.9
L00116,North,Haryana,Data Science,Afternoon,Medium,6.2,Same Day,Casual,1,7.8,14.1,Direct,73,59,1,60.4
L00117,South,Tamil Nadu,Full Stack,Evening,Medium,6.3,1 Day,Casual,1,5.7,12.8,Direct,65,56,0,36.5
L00118,South,Karnataka,Data Science,Evening,Medium,6.2,1 Day,Casual,1,2.3,10.2,Direct,78,60,1,65.4
L00119,South,Karnataka,Data Science,Evening,Long,10.5,Same Day,Casual,1,5.7,9.7,Direct,57,49,0,31.1
L00120,North,Delhi,Full Stack,Evening,Medium,6.5,1 Day,Semi-Formal,1,5.8,15.4,Campus Ambassador,69,59,0,60.9
L00121,North,Haryana,Full Stack,Evening,Medium,5.3,Same Day,Formal,1,4,17.6,Direct,74,69,1,51.7
L00122,South,Kerala,Cloud,Evening,Medium,6,2 Days,Semi-Formal,1,2.6,12.3,Campus Ambassador,64,52,0,66.8
L00123,South,Karnataka,Cybersecurity,Evening,Long,10.5,Same Day,Formal,1,4.1,11.2,Direct,73,64,1,73.6
L00124,East,Odisha,Cloud,Morning,Short,2.3,1 Day,Formal,1,5,9.8,Direct,56,55,0,43.5
L00125,South,Kerala,Cloud,Evening,Short,2,1 Day,Semi-Formal,1,6.9,13,Direct,61,55,0,62.6
L00126,South,Telangana,Data Science,Morning,Long,9.2,Same Day,Semi-Formal,1,1.6,12,Direct,66,65,0,48.6
L00127,East,West Bengal,Cybersecurity,Afternoon,Short,1.5,3-5 Days,Semi-Formal,1,7.2,7.9,Direct,68,56,0,55.7
L00128,East,Odisha,Full Stack,Evening,Medium,6.3,2 Days,Casual,1,6.6,10.6,Direct,70,69,1,46.2
L00129,South,Telangana,Data Science,Morning,Medium,6.1,1 Day,Semi-Formal,1,8.3,10.5,Direct,68,55,0,39
L00130,West,Goa,Data Science,Evening,Medium,5,Same Day,Formal,1,4.7,14.5,Direct,61,48,0,60.9
L00131,North,Punjab,Data Science,Afternoon,Long,10.6,2 Days,Formal,1,6.7,11.9,Direct,68,62,0,47.8
L00132,East,Bihar,Full Stack,Afternoon,Medium,6,Same Day,Formal,1,8.1,11.7,Direct,43,45,0,30.9
L00133,South,Telangana,Cybersecurity,Morning,Medium,6.2,Same Day,Formal,1,2.2,13.9,Direct,52,55,0,56.7
L00134,South,Kerala,AI & ML,Evening,Short,1,2 Days,Casual,1,3.7,14.1,Direct,28,34,0,3.5
L00135,West,Gujarat,AI & ML,Evening,Long,10.5,2 Days,Semi-Formal,1,2.9,11.3,Campus Ambassador,72,58,1,38.8
L00136,West,Gujarat,Full Stack,Evening,Long,10.7,Same Day,Casual,1,3.7,9.6,Direct,52,56,0,42.2
L00137,North,Uttar Pradesh,Data Science,Morning,Medium,6.5,Same Day,Formal,1,5.7,10.2,Direct,59,56,0,43.6
L00138,South,Karnataka,Cloud,Morning,Long,10.4,Same Day,Formal,1,4.4,14.8,Direct,56,45,0,65
L00139,West,Maharashtra,AI & ML,Morning,Long,9.9,Same Day,Casual,1,4.8,10.8,Direct,69,58,0,46.4
L00140,North,Uttar Pradesh,Cybersecurity,Evening,Long,10.2,2 Days,Formal,1,5.1,11.5,Campus Ambassador,53,49,0,50.8
L00141,North,Uttar Pradesh,Full Stack,Morning,Medium,6.7,Same Day,Semi-Formal,3,6.6,12.8,Campus Ambassador,73,64,1,49.9
L00142,West,Gujarat,Full Stack,Afternoon,Short,1.5,1 Day,Casual,1,6.4,6.3,Direct,66,66,0,48.1
L00143,North,Delhi,Data Science,Morning,Short,1.4,1 Day,Formal,1,6.6,17.6,Direct,56,57,0,54.6
L00144,North,Delhi,Full Stack,Afternoon,Long,10,Same Day,Formal,1,5.4,14.3,Campus Ambassador,46,48,0,32.1
L00145,South,Telangana,AI & ML,Afternoon,Medium,5.4,1 Day,Formal,1,4.9,11.9,Direct,36,34,0,38.6
L00146,North,Haryana,Data Science,Afternoon,Medium,5.7,Same Day,Formal,1,5.6,15.4,Campus Ambassador,72,63,1,49.7
L00147,South,Tamil Nadu,Full Stack,Evening,Medium,6.5,2 Days,Formal,1,1.7,16.7,Campus Ambassador,44,46,0,49.7
L00148,South,Karnataka,Cybersecurity,Evening,Short,1.2,Same Day,Semi-Formal,1,7.1,13.3,Direct,75,71,1,58.6
L00149,South,Kerala,Data Science,Afternoon,Medium,5.5,1 Day,Formal,1,4.3,13.9,Campus Ambassador,61,62,0,46.7
L00150,South,Telangana,Full Stack,Morning,Medium,5.3,2 Days,Semi-Formal,1,4.6,19.6,Direct,54,44,0,37.6
L00151,South,Tamil Nadu,Cloud,Morning,Short,1.2,3-5 Days,Casual,1,6,10.8,Campus Ambassador,59,49,0,40.1
L00152,South,Tamil Nadu,Data Science,Evening,Medium,6.8,Same Day,Formal,1,3.8,11.3,Direct,62,55,0,38.8
L00153,South,Kerala,Cybersecurity,Morning,Long,10.3,Same Day,Semi-Formal,1,3.3,8.4,Campus Ambassador,67,57,0,73.6
L00154,West,Maharashtra,Data Science,Morning,Medium,5.5,Same Day,Formal,1,5.3,12.3,Direct,63,61,0,52.4
L00155,East,Odisha,Cloud,Evening,Short,1.1,1 Day,Semi-Formal,3,7.9,17.2,Direct,65,62,0,51.5
L00156,South,Kerala,Full Stack,Evening,Medium,6.5,2 Days,Casual,1,5.6,14.2,Campus Ambassador,61,54,0,39.7
L00157,West,Goa,AI & ML,Morning,Short,2.5,Same Day,Formal,2,3.7,9.3,Direct,75,58,1,41.7
L00158,North,Uttar Pradesh,AI & ML,Evening,Short,2.5,1 Day,Semi-Formal,1,2.9,13.6,Direct,94,84,1,43.2
L00159,North,Haryana,AI & ML,Afternoon,Long,9.3,2 Days,Semi-Formal,1,6.1,10.1,Direct,77,63,1,27.9
L00160,North,Haryana,AI & ML,Afternoon,Medium,6.2,Same Day,Casual,1,6.2,13.7,Campus Ambassador,100,84,1,54.2
L00161,North,Uttar Pradesh,Cybersecurity,Morning,Short,1.1,2 Days,Casual,1,4.7,11.6,Campus Ambassador,38,40,0,42.7
L00162,South,Tamil Nadu,Cloud,Afternoon,Short,1.3,2 Days,Formal,1,5.4,14,Direct,67,58,0,75.8
L00163,West,Maharashtra,Data Science,Morning,Long,9.7,Same Day,Casual,1,5.6,15.3,Campus Ambassador,48,41,0,43.7
L00164,North,Punjab,Cybersecurity,Evening,Long,10.5,Same Day,Semi-Formal,1,1.2,12.3,Direct,64,54,0,45.1
L00165,North,Haryana,Cloud,Evening,Short,2.8,2 Days,Formal,1,5.9,15.8,Campus Ambassador,87,81,1,60
L00166,West,Gujarat,Cloud,Morning,Long,10.1,Same Day,Casual,1,4.8,12.5,Direct,63,60,0,56.5
L00167,East,Jharkhand,Cybersecurity,Evening,Short,2.2,Same Day,Semi-Formal,2,2.1,14.5,Direct,74,72,1,64.1
L00168,North,Uttar Pradesh,Cloud,Afternoon,Medium,5.1,1 Day,Semi-Formal,1,4.4,15.3,Direct,68,62,0,59.8
L00169,East,Jharkhand,Data Science,Afternoon,Short,2.4,Same Day,Semi-Formal,1,2.4,15.6,Direct,71,60,1,61.7
L00170,South,Tamil Nadu,Cybersecurity,Afternoon,Medium,5.1,Same Day,Formal,1,4.1,12.8,Direct,57,50,0,38.3
L00171,West,Goa,Cybersecurity,Morning,Medium,6.9,1 Day,Formal,1,5.4,14.2,Direct,73,68,1,82.5
L00172,North,Uttar Pradesh,Cybersecurity,Evening,Short,1.6,Same Day,Casual,1,4.5,13,Direct,74,59,1,37.8
L00173,North,Haryana,AI & ML,Morning,Medium,5.4,Same Day,Semi-Formal,1,5.3,11.6,Direct,85,78,1,53.4
L00174,East,Jharkhand,Cloud,Evening,Short,1,3-5 Days,Semi-Formal,1,5.2,12.5,Direct,66,58,0,66.8
L00175,North,Delhi,Data Science,Evening,Long,9.6,Same Day,Semi-Formal,1,5.1,7.3,Direct,91,69,1,68
L00176,West,Gujarat,AI & ML,Evening,Short,2.5,1 Day,Semi-Formal,1,4.1,17.1,Direct,87,66,1,57.6
L00177,South,Telangana,Cloud,Evening,Short,2.7,Same Day,Casual,1,1.7,17.5,Direct,72,62,1,66.8
L00178,North,Rajasthan,Data Science,Afternoon,Short,2.8,1 Day,Formal,1,3.6,8.7,Direct,81,76,1,64.6
L00179,East,Bihar,Cybersecurity,Morning,Long,10.2,Same Day,Semi-Formal,1,5.1,11.7,Direct,75,62,1,36.5
L00180,North,Punjab,Full Stack,Evening,Short,2.8,3-5 Days,Formal,1,3.4,13.3,Direct,41,38,0,63.2
L00181,North,Punjab,Full Stack,Evening,Medium,5.9,1 Day,Formal,1,3.3,15.2,Campus Ambassador,72,68,1,65.9
L00182,South,Telangana,Cybersecurity,Evening,Short,2.7,3-5 Days,Semi-Formal,1,2.1,10.7,Campus Ambassador,66,60,0,63.4
L00183,North,Haryana,Data Science,Afternoon,Long,10,2 Days,Casual,1,2.6,8.6,Direct,54,49,0,28.4
L00184,East,Jharkhand,Cloud,Afternoon,Short,2.5,Same Day,Casual,1,5.7,11.4,Direct,91,72,1,57.3
L00185,North,Punjab,Full Stack,Afternoon,Short,3,2 Days,Formal,1,4.6,12.3,Campus Ambassador,61,56,0,49.6
L00186,South,Telangana,Cybersecurity,Afternoon,Short,1.5,Same Day,Semi-Formal,2,3.2,8.1,Campus Ambassador,63,57,0,45.6
L00187,North,Punjab,Cloud,Evening,Medium,5.8,Same Day,Semi-Formal,1,5.5,11.8,Campus Ambassador,81,66,1,67.4
L00188,West,Gujarat,Data Science,Afternoon,Long,10.1,2 Days,Semi-Formal,1,6.2,15.9,Campus Ambassador,74,69,1,42.1
L00189,North,Uttar Pradesh,AI & ML,Morning,Short,2.7,Same Day,Casual,1,8.1,15.2,Direct,83,73,1,52.9
L00190,North,Punjab,Data Science,Morning,Short,1.9,1 Day,Casual,4,5.9,12.5,Campus Ambassador,69,65,0,43.1
L00191,East,Bihar,Data Science,Morning,Long,9.2,1 Day,Semi-Formal,1,5.7,11.3,Direct,54,49,0,65.4
L00192,North,Punjab,Cybersecurity,Evening,Short,2.2,1 Day,Semi-Formal,1,4.8,18.9,Direct,71,64,1,47.2
L00193,North,Uttar Pradesh,Cybersecurity,Morning,Long,9.1,2 Days,Semi-Formal,1,4.5,8.8,Direct,79,67,1,65.9
L00194,North,Haryana,Cybersecurity,Morning,Short,3,2 Days,Semi-Formal,1,3.9,8.2,Direct,86,72,1,72.7
L00195,East,Odisha,Cybersecurity,Morning,Medium,5.1,2 Days,Semi-Formal,1,8.3,11.1,Direct,78,61,1,59.9
L00196,West,Gujarat,Data Science,Afternoon,Short,1.6,2 Days,Casual,1,7.5,14.5,Direct,64,55,0,45.6
L00197,West,Goa,Data Science,Afternoon,Short,1.1,1 Day,Semi-Formal,1,2.5,11.2,Direct,72,63,1,56.1
L00198,North,Delhi,AI & ML,Afternoon,Medium,6.1,Same Day,Formal,1,3.2,12.8,Direct,95,81,1,50.9
L00199,South,Karnataka,Full Stack,Morning,Medium,5.8,Same Day,Casual,1,7.7,13,Direct,81,63,1,67.8
L00200,East,West Bengal,Cybersecurity,Morning,Medium,6.3,1 Day,Formal,1,8,13.4,Campus Ambassador,81,62,1,61.8
L00201,East,Bihar,Cloud,Evening,Medium,5.7,1 Day,Semi-Formal,1,8.4,13,Direct,48,43,0,33.3
L00202,North,Delhi,AI & ML,Evening,Long,10.6,Same Day,Formal,1,7.1,14.7,Campus Ambassador,68,55,0,59.1
L00203,North,Punjab,Cloud,Afternoon,Long,9,Same Day,Casual,1,4,9.8,Direct,72,64,1,64.1
L00204,North,Rajasthan,Cloud,Morning,Medium,6.3,Same Day,Casual,1,2.9,14.2,Campus Ambassador,99,87,1,47.1
L00205,North,Uttar Pradesh,Cloud,Morning,Long,9.1,1 Day,Formal,1,4,11.1,Direct,73,65,1,43
L00206,East,West Bengal,AI & ML,Evening,Long,10.7,1 Day,Formal,1,8.1,11.8,Direct,77,60,1,58.7
L00207,North,Haryana,Cybersecurity,Evening,Long,10.4,3-5 Days,Formal,1,4.7,6.5,Direct,41,38,0,41.6
L00208,North,Rajasthan,Full Stack,Evening,Medium,6.6,Same Day,Formal,1,8.1,11.1,Direct,73,59,1,56
L00209,West,Maharashtra,Cybersecurity,Afternoon,Short,3,1 Day,Semi-Formal,1,9.9,12.6,Direct,75,69,1,44.3
L00210,West,Goa,Cloud,Morning,Long,9.5,1 Day,Semi-Formal,1,5.2,18.8,Direct,58,48,0,72.3
